repository,stars,language,created_at,updated_at,forks,open_issues,size,default_branch,description,url,clone_url,archived,disabled,architecture,community,continuous_integration,documentation,history,issues,license,size_metric,unit_test
majodev/google-webfonts-helper,12549,TypeScript,2014-12-22T01:32:54Z,2025-07-11T12:46:21Z,435,63,780,master,"A Hassle-Free Way to Self-Host Google Fonts. Get eot, ttf, svg, woff and woff2 files + CSS snippets",https://github.com/majodev/google-webfonts-helper,https://github.com/majodev/google-webfonts-helper.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vercel/commerce,12456,TypeScript,2020-10-26T22:30:00Z,2025-07-12T13:45:54Z,4793,53,10983,main,Next.js Commerce,https://github.com/vercel/commerce,https://github.com/vercel/commerce.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tensorflow/playground,12430,TypeScript,2016-04-04T18:18:40Z,2025-07-12T05:49:58Z,2627,135,1483,master,Play with neural networks!,https://github.com/tensorflow/playground,https://github.com/tensorflow/playground.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
noodle-run/noodle,12399,TypeScript,2022-05-19T03:44:15Z,2025-07-11T16:34:14Z,798,14,14404,main,Rethinking Student Productivity,https://github.com/noodle-run/noodle,https://github.com/noodle-run/noodle.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
antvis/G2,12369,TypeScript,2016-05-26T09:21:04Z,2025-07-11T09:04:16Z,1653,234,351357,v5,📊 The concise and progressive visualization grammar.,https://github.com/antvis/G2,https://github.com/antvis/G2.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Unleash/unleash,12363,TypeScript,2014-09-29T12:50:46Z,2025-07-12T14:22:42Z,783,54,286756,main,Open-source feature management platform,https://github.com/Unleash/unleash,https://github.com/Unleash/unleash.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
barbajs/barba,12361,TypeScript,2015-11-12T20:08:53Z,2025-07-11T09:01:23Z,477,12,31212,main,"Create badass, fluid and smooth transitions between your website’s pages",https://github.com/barbajs/barba,https://github.com/barbajs/barba.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nhn/tui.calendar,12343,TypeScript,2017-09-11T00:21:04Z,2025-07-12T10:13:52Z,1335,206,78921,main,🍞📅A JavaScript calendar that has everything you need.,https://github.com/nhn/tui.calendar,https://github.com/nhn/tui.calendar.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
electric-sql/pglite,12323,TypeScript,2024-02-19T14:37:38Z,2025-07-12T12:15:07Z,281,104,15841,main,"Embeddable Postgres with real-time, reactive bindings.",https://github.com/electric-sql/pglite,https://github.com/electric-sql/pglite.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
highcharts/highcharts,12299,TypeScript,2010-06-11T12:23:53Z,2025-07-11T16:58:47Z,3745,893,381048,master,"Highcharts JS, the JavaScript charting framework",https://github.com/highcharts/highcharts,https://github.com/highcharts/highcharts.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kysely-org/kysely,12295,TypeScript,2021-02-22T09:06:55Z,2025-07-12T10:09:26Z,325,134,51132,master,A type-safe TypeScript SQL query builder,https://github.com/kysely-org/kysely,https://github.com/kysely-org/kysely.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aws/aws-cdk,12291,TypeScript,2017-10-04T19:22:36Z,2025-07-12T07:43:12Z,4203,2595,1480547,main,The AWS Cloud Development Kit is a framework for defining cloud infrastructure in code,https://github.com/aws/aws-cdk,https://github.com/aws/aws-cdk.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
streetwriters/notesnook,12258,TypeScript,2021-04-01T17:25:54Z,2025-07-12T13:35:16Z,794,1409,265963,master,A fully open source & end-to-end encrypted note taking alternative to Evernote.,https://github.com/streetwriters/notesnook,https://github.com/streetwriters/notesnook.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
snabbdom/snabbdom,12225,TypeScript,2015-05-09T20:25:10Z,2025-07-11T19:07:41Z,1110,84,4880,master,"A virtual DOM library with focus on simplicity, modularity, powerful features and performance.",https://github.com/snabbdom/snabbdom,https://github.com/snabbdom/snabbdom.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
react-icons/react-icons,12201,TypeScript,2015-10-23T12:36:30Z,2025-07-12T13:10:32Z,786,215,250492,master,svg react icons of popular icon packs,https://github.com/react-icons/react-icons,https://github.com/react-icons/react-icons.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
liupan1890/aliyunpan,12168,TypeScript,2021-04-22T02:20:35Z,2025-07-12T01:18:32Z,1131,345,11938,v3,阿里云盘小白羊版  阿里云盘PC版 aliyundriver,https://github.com/liupan1890/aliyunpan,https://github.com/liupan1890/aliyunpan.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
fosrl/pangolin,12116,TypeScript,2024-09-27T02:16:47Z,2025-07-12T14:40:45Z,314,74,20690,main,Tunneled Reverse Proxy Server with Identity and Access Control and Dashboard UI,https://github.com/fosrl/pangolin,https://github.com/fosrl/pangolin.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
illacloud/illa-builder,12114,TypeScript,2022-04-18T04:55:57Z,2025-07-11T15:29:20Z,1158,41,53751,beta,"Low-code platform allows you to build business apps, enables you to quickly create internal tools such as dashboard, crud app, admin panel, crm, cms, etc. Supports PostgreSQL, MySQL, Supabase, GraphQL, MongoDB, MSSQL, Rest API, Hugging Face, Redis, etc. Automate workflows with schedule or webhook. Open source Retool. ",https://github.com/illacloud/illa-builder,https://github.com/illacloud/illa-builder.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
linnovate/mean,12111,TypeScript,2013-05-22T12:15:47Z,2025-07-09T13:54:56Z,3421,82,10491,master,"The MEAN stack uses Mongo, Express, Angular(6) and Node for simple and scalable fullstack js applications",https://github.com/linnovate/mean,https://github.com/linnovate/mean.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
callstack/linaria,12108,TypeScript,2017-05-23T00:52:34Z,2025-07-11T13:09:52Z,414,164,33788,master,Zero-runtime CSS in JS library,https://github.com/callstack/linaria,https://github.com/callstack/linaria.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GoogleChromeLabs/comlink,12104,TypeScript,2017-09-06T11:43:38Z,2025-07-12T14:47:07Z,411,111,2177,main,Comlink makes WebWorkers enjoyable.,https://github.com/GoogleChromeLabs/comlink,https://github.com/GoogleChromeLabs/comlink.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
alibaba/formily,12067,TypeScript,2019-01-09T02:11:45Z,2025-07-12T04:28:11Z,1550,119,28905,formily_next,📱🚀 🧩 Cross Device & High Performance Normal Form/Dynamic(JSON Schema) Form/Form Builder -- Support React/React Native/Vue 2/Vue 3,https://github.com/alibaba/formily,https://github.com/alibaba/formily.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vercel/satori,12054,TypeScript,2022-01-27T17:01:04Z,2025-07-11T22:53:07Z,284,108,5492,main,Enlightened library to convert HTML and CSS to SVG,https://github.com/vercel/satori,https://github.com/vercel/satori.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PlasmoHQ/plasmo,12033,TypeScript,2022-05-02T11:05:23Z,2025-07-12T13:49:39Z,423,318,6177,main,🧩 The Browser Extension Framework,https://github.com/PlasmoHQ/plasmo,https://github.com/PlasmoHQ/plasmo.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
boardgameio/boardgame.io,11978,TypeScript,2017-11-21T23:47:35Z,2025-07-11T01:23:58Z,775,121,14125,main,State Management and Multiplayer Networking for Turn-Based Games,https://github.com/boardgameio/boardgame.io,https://github.com/boardgameio/boardgame.io.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ourongxing/newsnow,11944,TypeScript,2024-09-23T14:16:12Z,2025-07-12T14:37:44Z,3493,71,5031,main,Elegant reading of real-time and hottest news,https://github.com/ourongxing/newsnow,https://github.com/ourongxing/newsnow.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
element-hq/element-web,11910,TypeScript,2015-07-22T05:32:15Z,2025-07-12T06:37:00Z,2223,3252,441412,develop,A glossy Matrix collaboration client for the web.,https://github.com/element-hq/element-web,https://github.com/element-hq/element-web.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ant-design/ant-design-mobile,11845,TypeScript,2015-11-30T03:33:06Z,2025-07-11T10:00:57Z,2471,261,169679,master,Essential UI blocks for building mobile web apps.,https://github.com/ant-design/ant-design-mobile,https://github.com/ant-design/ant-design-mobile.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
atlassian/pragmatic-drag-and-drop,11821,TypeScript,2024-02-04T21:51:59Z,2025-07-12T14:42:15Z,296,84,7925,main,Fast drag and drop for any experience on any tech stack,https://github.com/atlassian/pragmatic-drag-and-drop,https://github.com/atlassian/pragmatic-drag-and-drop.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
theatre-js/theatre,11821,TypeScript,2013-12-23T11:02:52Z,2025-07-12T02:35:37Z,381,127,27636,main,Motion design editor for the web,https://github.com/theatre-js/theatre,https://github.com/theatre-js/theatre.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
inversify/InversifyJS,11820,TypeScript,2015-04-07T21:04:38Z,2025-07-12T00:54:03Z,724,11,3195,master,A powerful and lightweight inversion of control container  for JavaScript & Node.js apps powered by TypeScript.,https://github.com/inversify/InversifyJS,https://github.com/inversify/InversifyJS.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
googleapis/google-api-nodejs-client,11812,TypeScript,2013-03-06T17:02:23Z,2025-07-12T14:39:08Z,1965,207,481335,main,"Google's officially supported Node.js client library for accessing Google APIs. Support for authorization and authentication with OAuth 2.0, API Keys and JWT (Service Tokens) is included. ",https://github.com/googleapis/google-api-nodejs-client,https://github.com/googleapis/google-api-nodejs-client.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tradingview/lightweight-charts,11807,TypeScript,2019-05-24T14:41:49Z,2025-07-12T14:32:50Z,1873,109,97091,master,Performant financial charts built with HTML5 canvas,https://github.com/tradingview/lightweight-charts,https://github.com/tradingview/lightweight-charts.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
shikijs/shiki,11772,TypeScript,2018-10-29T22:16:21Z,2025-07-12T09:44:55Z,440,82,14678,main,A beautiful yet powerful syntax highlighter,https://github.com/shikijs/shiki,https://github.com/shikijs/shiki.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
primefaces/primeng,11766,TypeScript,2016-01-16T09:23:28Z,2025-07-11T16:18:45Z,4882,854,207145,master,The Most Complete Angular UI Component Library,https://github.com/primefaces/primeng,https://github.com/primefaces/primeng.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aurelia/framework,11724,TypeScript,2014-12-10T19:22:29Z,2025-07-09T10:56:54Z,616,59,3253,master,"The Aurelia 1 framework entry point, bringing together all the required sub-modules of Aurelia.",https://github.com/aurelia/framework,https://github.com/aurelia/framework.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mapbox/mapbox-gl-js,11720,TypeScript,2013-03-07T14:45:24Z,2025-07-12T09:53:37Z,2291,1388,607191,main,"Interactive, thoroughly customizable maps in the browser, powered by vector tiles and WebGL",https://github.com/mapbox/mapbox-gl-js,https://github.com/mapbox/mapbox-gl-js.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
triggerdotdev/trigger.dev,11681,TypeScript,2022-11-30T14:59:07Z,2025-07-12T11:49:49Z,755,126,128693,main,Trigger.dev – open source background jobs and AI infrastructure,https://github.com/triggerdotdev/trigger.dev,https://github.com/triggerdotdev/trigger.dev.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ajayyy/SponsorBlock,11679,TypeScript,2019-07-10T02:40:43Z,2025-07-12T10:15:31Z,379,358,13712,master,Skip YouTube video sponsors (browser extension),https://github.com/ajayyy/SponsorBlock,https://github.com/ajayyy/SponsorBlock.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jacomyal/sigma.js,11628,TypeScript,2012-03-11T15:17:40Z,2025-07-11T16:20:26Z,1604,30,30559,main,A JavaScript library aimed at visualizing graphs of thousands of nodes and edges,https://github.com/jacomyal/sigma.js,https://github.com/jacomyal/sigma.js.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
antvis/G6,11591,TypeScript,2017-02-13T10:00:43Z,2025-07-12T03:44:23Z,1471,230,88077,v5,♾ A Graph Visualization Framework in JavaScript.,https://github.com/antvis/G6,https://github.com/antvis/G6.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Zettlr/Zettlr,11584,TypeScript,2017-12-26T18:34:19Z,2025-07-12T08:29:58Z,709,543,139000,develop,Your One-Stop Publication Workbench,https://github.com/Zettlr/Zettlr,https://github.com/Zettlr/Zettlr.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wasp-lang/open-saas,11564,TypeScript,2023-12-01T13:54:36Z,2025-07-12T14:46:09Z,1227,88,92559,main,"A free, open-source SaaS app starter for React & Node.js with superpowers. Full-featured. Community-driven.",https://github.com/wasp-lang/open-saas,https://github.com/wasp-lang/open-saas.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
getomni-ai/zerox,11540,TypeScript,2024-07-21T21:25:49Z,2025-07-12T12:54:29Z,778,73,172032,main,OCR & Document Extraction using vision models,https://github.com/getomni-ai/zerox,https://github.com/getomni-ai/zerox.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
paulmillr/chokidar,11499,TypeScript,2012-04-20T19:17:49Z,2025-07-12T14:33:11Z,601,28,2039,main,Minimal and efficient cross-platform file watching library,https://github.com/paulmillr/chokidar,https://github.com/paulmillr/chokidar.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
typestack/class-validator,11471,TypeScript,2015-10-03T13:27:09Z,2025-07-12T01:56:29Z,826,320,4959,develop,Decorator-based property validation for classes.,https://github.com/typestack/class-validator,https://github.com/typestack/class-validator.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
markmap/markmap,11452,TypeScript,2020-01-13T10:23:34Z,2025-07-12T14:10:15Z,832,44,1766,master,Build mindmaps with plain text,https://github.com/markmap/markmap,https://github.com/markmap/markmap.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
szimek/signature_pad,11450,TypeScript,2013-03-15T17:59:57Z,2025-07-12T14:15:32Z,2163,8,5051,master,HTML5 canvas based smooth signature drawing,https://github.com/szimek/signature_pad,https://github.com/szimek/signature_pad.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
juice-shop/juice-shop,11447,TypeScript,2014-09-19T14:53:06Z,2025-07-12T14:00:13Z,13593,13,252585,master,OWASP Juice Shop: Probably the most modern and sophisticated insecure web application,https://github.com/juice-shop/juice-shop,https://github.com/juice-shop/juice-shop.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ixartz/Next-js-Boilerplate,11428,TypeScript,2020-07-22T19:47:35Z,2025-07-12T11:48:28Z,2127,6,38640,main,"🚀🎉📚 Boilerplate and Starter for Next.js 15 with App Router and Page Router support, Tailwind CSS 4 and TypeScript ⚡️ Made with developer experience first: Next.js + TypeScript + ESLint + Prettier + Drizzle ORM + Husky + Lint-Staged + Vitest + Testing Library + Playwright + Storybook + Commitlint + VSCode + Sentry + PostCSS + Tailwind CSS ✨",https://github.com/ixartz/Next-js-Boilerplate,https://github.com/ixartz/Next-js-Boilerplate.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pacocoursey/cmdk,11423,TypeScript,2022-07-15T20:22:47Z,2025-07-12T04:50:39Z,334,60,783,main,"Fast, unstyled command menu React component.",https://github.com/pacocoursey/cmdk,https://github.com/pacocoursey/cmdk.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
reactjs/react.dev,11416,TypeScript,2017-10-06T03:16:04Z,2025-07-12T12:15:00Z,7737,1320,179893,main,The React documentation website,https://github.com/reactjs/react.dev,https://github.com/reactjs/react.dev.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
developit/mitt,11407,TypeScript,2017-01-15T01:10:50Z,2025-07-12T07:57:19Z,458,20,217,main,🥊 Tiny 200 byte functional event emitter / pubsub.,https://github.com/developit/mitt,https://github.com/developit/mitt.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
James-Yu/LaTeX-Workshop,11332,TypeScript,2016-12-26T08:23:24Z,2025-07-12T11:43:05Z,547,3,47004,master,"Boost LaTeX typesetting efficiency with preview, compile, autocomplete, colorize, and more.",https://github.com/James-Yu/LaTeX-Workshop,https://github.com/James-Yu/LaTeX-Workshop.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
idootop/mi-gpt,11313,TypeScript,2024-01-24T14:20:19Z,2025-07-12T13:25:15Z,1469,3,33469,main,🏠 将小爱音箱接入 ChatGPT 和豆包，改造成你的专属语音助手。,https://github.com/idootop/mi-gpt,https://github.com/idootop/mi-gpt.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
darkroomengineering/lenis,11281,TypeScript,2022-02-21T14:57:09Z,2025-07-12T13:41:35Z,457,20,8642,main,How smooth scroll should be,https://github.com/darkroomengineering/lenis,https://github.com/darkroomengineering/lenis.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gcanti/fp-ts,11219,TypeScript,2017-01-25T17:44:09Z,2025-07-12T10:24:45Z,511,191,23134,master,Functional programming in TypeScript,https://github.com/gcanti/fp-ts,https://github.com/gcanti/fp-ts.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
documenso/documenso,11199,TypeScript,2023-03-12T16:28:56Z,2025-07-12T14:23:00Z,1825,183,185297,main,The Open Source DocuSign Alternative.,https://github.com/documenso/documenso,https://github.com/documenso/documenso.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Vendicated/Vencord,11187,TypeScript,2022-08-24T14:38:55Z,2025-07-12T12:14:23Z,1662,325,9446,main,The cutest Discord client mod,https://github.com/Vendicated/Vencord,https://github.com/Vendicated/Vencord.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FormidableLabs/victory,11173,TypeScript,2015-07-02T22:36:50Z,2025-07-10T11:24:04Z,528,95,65666,main,A collection of composable React components for building interactive data visualizations,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dotansimha/graphql-code-generator,11103,TypeScript,2016-12-05T19:15:11Z,2025-07-12T04:38:48Z,1371,619,92166,master,"A tool for generating code based on a GraphQL schema and GraphQL operations (query/mutation/subscription), with flexible support for custom plugins. ",https://github.com/dotansimha/graphql-code-generator,https://github.com/dotansimha/graphql-code-generator.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
logaretm/vee-validate,11075,TypeScript,2016-07-30T01:10:44Z,2025-07-11T12:39:06Z,1297,119,23075,main,✅  Painless Vue forms,https://github.com/logaretm/vee-validate,https://github.com/logaretm/vee-validate.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
keplergl/kepler.gl,11047,TypeScript,2018-02-28T21:36:16Z,2025-07-12T09:53:46Z,1830,546,36968,master,Kepler.gl is a powerful open source geospatial analysis tool for large-scale data sets.,https://github.com/keplergl/kepler.gl,https://github.com/keplergl/kepler.gl.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
styleguidist/react-styleguidist,11031,TypeScript,2015-09-07T05:30:30Z,2025-07-12T01:13:47Z,1433,243,26393,master,Isolated React component development environment with a living style guide,https://github.com/styleguidist/react-styleguidist,https://github.com/styleguidist/react-styleguidist.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chimurai/http-proxy-middleware,11019,TypeScript,2015-03-14T15:45:55Z,2025-07-11T14:47:08Z,868,114,3724,master,":zap: The one-liner node.js http-proxy middleware for connect, express, next.js and more",https://github.com/chimurai/http-proxy-middleware,https://github.com/chimurai/http-proxy-middleware.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
reduxjs/redux-toolkit,11013,TypeScript,2018-03-03T21:21:53Z,2025-07-12T06:20:18Z,1225,267,42004,master,"The official, opinionated, batteries-included toolset for efficient Redux development",https://github.com/reduxjs/redux-toolkit,https://github.com/reduxjs/redux-toolkit.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
privatenumber/tsx,11000,TypeScript,2022-03-15T20:15:42Z,2025-07-12T08:35:49Z,186,99,2474,master,⚡️ TypeScript Execute | The easiest way to run TypeScript in Node.js,https://github.com/privatenumber/tsx,https://github.com/privatenumber/tsx.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
getumbrel/llama-gpt,10981,TypeScript,2023-07-22T20:12:54Z,2025-07-12T13:02:09Z,710,98,1788,master,"A self-hosted, offline, ChatGPT-like chatbot. Powered by Llama 2. 100% private, with no data leaving your device. New: Code Llama support!",https://github.com/getumbrel/llama-gpt,https://github.com/getumbrel/llama-gpt.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
formbricks/formbricks,10931,TypeScript,2022-06-06T04:25:21Z,2025-07-12T06:27:28Z,1933,254,260445,main,Open Source Qualtrics Alternative,https://github.com/formbricks/formbricks,https://github.com/formbricks/formbricks.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kusti8/proton-native,10917,TypeScript,2017-11-21T22:56:18Z,2025-07-09T00:05:01Z,361,88,7581,master,A React environment for cross platform desktop apps,https://github.com/kusti8/proton-native,https://github.com/kusti8/proton-native.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ds300/patch-package,10889,TypeScript,2017-05-08T20:31:20Z,2025-07-12T00:03:49Z,305,257,2356,master,Fix broken node modules instantly  🏃🏽‍♀️💨,https://github.com/ds300/patch-package,https://github.com/ds300/patch-package.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gregberge/svgr,10860,TypeScript,2017-09-01T21:38:42Z,2025-07-11T17:38:16Z,430,129,15924,main,Transform SVGs into React components 🦁,https://github.com/gregberge/svgr,https://github.com/gregberge/svgr.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vuestorefront/vue-storefront,10821,TypeScript,2017-08-15T06:33:52Z,2025-07-12T05:47:23Z,2101,53,134750,main,Alokai is a Frontend as a Service solution that simplifies composable commerce. It connects all the technologies needed to build and deploy fast & scalable ecommerce frontends. It guides merchants to deliver exceptional customer experiences quickly and easily.,https://github.com/vuestorefront/vue-storefront,https://github.com/vuestorefront/vue-storefront.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
emilkowalski/sonner,10791,TypeScript,2023-02-23T11:01:18Z,2025-07-12T14:09:05Z,345,25,1413,main,An opinionated toast component for React.,https://github.com/emilkowalski/sonner,https://github.com/emilkowalski/sonner.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
retejs/rete,10696,TypeScript,2017-02-28T13:17:03Z,2025-07-12T11:10:19Z,665,10,1934,main,JavaScript framework for visual programming,https://github.com/retejs/rete,https://github.com/retejs/rete.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rough-stuff/wired-elements,10635,TypeScript,2017-08-28T06:12:03Z,2025-07-11T14:11:30Z,337,35,1917,master,Collection of custom elements that appear hand drawn. Great for wireframes or a fun look.,https://github.com/rough-stuff/wired-elements,https://github.com/rough-stuff/wired-elements.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xcatliu/typescript-tutorial,10627,TypeScript,2016-05-11T03:02:41Z,2025-07-08T23:55:39Z,1346,74,6781,master,TypeScript 入门教程,https://github.com/xcatliu/typescript-tutorial,https://github.com/xcatliu/typescript-tutorial.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
misskey-dev/misskey,10621,TypeScript,2016-12-25T13:16:07Z,2025-07-12T06:18:02Z,1483,2338,178222,develop,🌎 A completely free and open interplanetary microblogging platform 🚀,https://github.com/misskey-dev/misskey,https://github.com/misskey-dev/misskey.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vercel/micro,10606,TypeScript,2016-01-23T05:17:00Z,2025-07-08T02:47:40Z,455,9,1041,main,Asynchronous HTTP microservices,https://github.com/vercel/micro,https://github.com/vercel/micro.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
captbaritone/webamp,10572,TypeScript,2014-11-04T02:50:52Z,2025-07-10T22:17:52Z,715,162,151770,master,Winamp 2 reimplemented for the browser,https://github.com/captbaritone/webamp,https://github.com/captbaritone/webamp.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
akveo/react-native-ui-kitten,10552,TypeScript,2016-12-20T08:22:38Z,2025-07-12T01:51:41Z,974,193,480324,master,:boom: React Native UI Library based on Eva Design System  :new_moon_with_face::sparkles:Dark Mode,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TanStack/router,10543,TypeScript,2019-01-14T13:54:39Z,2025-07-12T13:23:07Z,1072,330,34116,main,"🤖 Fully typesafe Router for React (and friends) w/ built-in caching, 1st class search-param APIs, client-side cache integration and isomorphic rendering.",https://github.com/TanStack/router,https://github.com/TanStack/router.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timolins/react-hot-toast,10525,TypeScript,2020-12-07T22:05:40Z,2025-07-11T20:01:21Z,348,126,2330,main,Smoking Hot React Notifications 🔥 ,https://github.com/timolins/react-hot-toast,https://github.com/timolins/react-hot-toast.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
egoist/tsup,10516,TypeScript,2020-03-19T16:23:41Z,2025-07-12T14:10:40Z,259,371,2161,main,The simplest and fastest way to bundle your TypeScript libraries.,https://github.com/egoist/tsup,https://github.com/egoist/tsup.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
